方法,总收益率(%),年化收益率(%),最大回撤(%),夏普比率,胜率(%),交易次数,平均收益
默认参数,3.378798939273797,25.714861925641365,6.419820944201837,9.78953650616172,24.285714285714285,70,1187.9644022613097
贝叶斯优化,13.259747041193993,135.725923936129,6.935261576467842,51.617180152718056,19.801980198019802,101,770.5473419298744
